candidate_id,rank,score,reasoning
CAND_0046525,1,0.8903,"Senior Machine Learning Engineer with 6.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.76); verified jd-relevant skills: elasticsearch, information retrieval, nlp, sentence transformers; ideal 6.1 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive."
CAND_0018499,2,0.8806,"Senior Machine Learning Engineer with 7.2 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.74); verified jd-relevant skills: weaviate, pinecone, information retrieval, milvus; ideal 7.2 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive; strong open-source activity (github score 95/100)."
CAND_0002025,3,0.8684,"Senior AI Engineer with 5.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.76); verified jd-relevant skills: faiss, opensearch, weaviate, sentence transformers; ideal 5.9 yoe (jd target: 5–9); non-preferred location (trivandrum); actively engaged and highly responsive; strong open-source activity (github score 97/100)."
CAND_0052328,4,0.8602,"Recommendation Systems Engineer with 6.5 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.71); verified jd-relevant skills: lora, opensearch, qlora, learning to rank; ideal 6.5 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive; strong open-source activity (github score 78/100)."
CAND_0064326,5,0.8580,"Search Engineer with 7.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: pytorch, milvus, semantic search, weaviate; ideal 7.6 yoe (jd target: 5–9); acceptable location (gurgaon); actively engaged and highly responsive; strong open-source activity (github score 61/100)."
CAND_0055905,6,0.8570,"Senior Machine Learning Engineer with 8.1 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.76); verified jd-relevant skills: elasticsearch, opensearch, information retrieval, embeddings; ideal 8.1 yoe (jd target: 5–9); non-preferred location (london); actively engaged and highly responsive."
CAND_0041669,7,0.8563,"Recommendation Systems Engineer with 8.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.73); verified jd-relevant skills: faiss, milvus, peft, qlora; ideal 8.0 yoe (jd target: 5–9); preferred location (pune/noida); actively engaged and highly responsive; strong open-source activity (github score 71/100)."
CAND_0050454,8,0.8549,"AI Engineer with 6.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.72); verified jd-relevant skills: pytorch, qlora, faiss, qdrant; ideal 6.8 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive."
CAND_0077337,9,0.8540,"Staff Machine Learning Engineer with 7.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.75); verified jd-relevant skills: semantic search, qlora, pinecone, information retrieval; ideal 7.0 yoe (jd target: 5–9); non-preferred location (kochi); actively engaged and highly responsive; strong open-source activity (github score 68/100)."
CAND_0011687,10,0.8530,"Senior NLP Engineer with 7.8 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.74); verified jd-relevant skills: opensearch, faiss, peft, embeddings; ideal 7.8 yoe (jd target: 5–9); non-preferred location (indore); actively engaged and highly responsive; strong open-source activity (github score 76/100)."
CAND_0046064,11,0.8488,"Senior NLP Engineer with 8.9 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.75); verified jd-relevant skills: pinecone, opensearch, peft, elasticsearch; ideal 8.9 yoe (jd target: 5–9); non-preferred location (coimbatore); actively engaged and highly responsive; strong open-source activity (github score 67/100)."
CAND_0045250,12,0.8485,"Applied ML Engineer with 6.6 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.74); verified jd-relevant skills: sentence transformers, milvus, lora, embeddings; ideal 6.6 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive."
CAND_0004402,13,0.8469,"AI Research Engineer with 6.0 YOE. Strong semantic alignment with the jd's retrieval and ranking requirements (sim=0.71); verified jd-relevant skills: opensearch, peft, pytorch, learning to rank; ideal 6.0 yoe (jd target: 5–9); acceptable location (delhi); actively engaged and highly responsive."
